"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Feed — Comment Sheet","2","0","Comment Sheet","0"
"0","","0","Feed — Social","1","0","Follow","0"
"0","","0","Feed — Bottom Navigation","2","0","Navigation Tabs","0"
"0","","0","Login Flow","7","1","","0"
"0","","0","Feed — Engagement","7","0","Comment","0"
"0","","0","Feed — Three-Dots Menu","2","0","Three Dots","0"
"0","","0","Feed — Engagement","2","0","Like","0"
"0","","0","Feed — Video Controls","2","0","Pause","0"
"0","","0","Feed — Video Controls","2","0","Mute","0"
"1","","0","Feed — Navigation","1","0","Swipe","0"
"0","","0","Feed — End-to-End","1","0","Continuous Feed Flow","0"
"0","","0","Feed — Navigation","1","0","Creator Profile","0"
"0","","0","Feed — Engagement","1","0","Save","0"
"0","","0","Feed — Social","1","0","Share","0"
