2026-08-17 16:27:13 [INFO    ] feed_page.py:572 — Toggling mute on current video
2026-08-17 16:27:15 [INFO    ] base_page.py:110 — Clicked: ('xpath', '(//android.widget.Button)[last()-1]')
2026-08-17 16:27:23 [ERROR   ] base_page.py:50 — Element not visible after 2s: ('xpath', "//*[@package='com.zee5.hipi' and (contains(@text,'Report') or contains(@text,'Not interested') or contains(@text,'Not Interested') or contains(@text,'Cancel') or contains(@text,'Hide') or contains(@text,'Block') or contains(@text,'Spam'))]")
2026-08-17 16:27:25 [INFO    ] screenshot_utils.py:60 — Screenshot saved: reports/screenshots/element_not_visible______package=_com.zee5.hipi_ and (contains(_text,_Report_) or contains(_text,_Not interested_) or contains(_text,_Not Interested_) or contains(_text,_Cancel_) or contains(_text,_Hide_) or contains(_text,_Block_) or contains(_text,_Spam_))__20260817_162723.png
2026-08-17 16:27:25 [ERROR   ] screenshot_utils.py:87 — Page source save failed: [Errno 63] File name too long: 'reports/screenshots/element_not_visible______package=_com.zee5.hipi_ and (contains(_text,_Report_) or contains(_text,_Not interested_) or contains(_text,_Not Interested_) or contains(_text,_Cancel_) or contains(_text,_Hide_) or contains(_text,_Block_) or contains(_text,_Spam_))__20260817_162725.xml'
2026-08-17 16:27:27 [ERROR   ] base_page.py:50 — Element not visible after 2s: ('xpath', "//*[@resource-id='com.zee5.hipi:id/etComment' or (@class='android.widget.EditText' and @package='com.zee5.hipi')]")
2026-08-17 16:27:29 [INFO    ] screenshot_utils.py:60 — Screenshot saved: reports/screenshots/element_not_visible______resource-id=_com.zee5.hipi_id_etComment_ or (_class=_android.widget.EditText_ and _package=_com.zee5.hipi_)__20260817_162727.png
2026-08-17 16:27:29 [INFO    ] screenshot_utils.py:83 — Page source saved: reports/screenshots/element_not_visible______resource-id=_com.zee5.hipi_id_etComment_ or (_class=_android.widget.EditText_ and _package=_com.zee5.hipi_)__20260817_162729.xml
2026-08-17 16:27:31 [INFO    ] screenshot_utils.py:60 — Screenshot saved: reports/screenshots/mute_unexpected_navigation_20260817_162729.png
2026-08-17 16:27:31 [INFO    ] screenshot_utils.py:83 — Page source saved: reports/screenshots/mute_unexpected_navigation_20260817_162731.xml
2026-08-17 16:27:31 [ERROR   ] feed_page.py:628 — Mute toggle failed: mute_unmute_video() caused an unexpected screen change — a correct mute tap should not alter the accessibility tree at all. Verify MUTE_ICON still resolves to the correct element.
2026-08-17 16:27:32 [INFO    ] screenshot_utils.py:60 — Screenshot saved: reports/screenshots/mute_toggle_failed_20260817_162731.png
2026-08-17 16:27:32 [INFO    ] screenshot_utils.py:83 — Page source saved: reports/screenshots/mute_toggle_failed_20260817_162732.xml
